Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
0911R,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
0848Y,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1654Z,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
1595K,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0824X,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
1446Y,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
1073S,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0466H,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2097F,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1492Y,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0864Q,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0530C,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2395E,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0
0539M,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2498R,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
2129Q,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0
0905K,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
2006G,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0668C,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1522F,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
1029V,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0665Z,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2342X,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0402N,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
0522T,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1949V,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
